,Marque,Modèle,Année-Modèle,Kilométrage,Type de carburant,Puissance fiscale,Boite de vitesses,Nombre de portes,Origine,Première main,État,Jantes aluminium,Airbags,Climatisation,Système de navigation/GPS,Toit ouvrant,Sièges cuir,Radar de recul,Caméra de recul,Vitres électriques,ABS,ESP,Régulateur de vitesse,Limiteur de vitesse,CD/MP3/Bluetooth,Ordinateur de bord,Verrouillage centralisé à distance,Prix
198,Fiat,Doblo,2013,184999.5,Diesel,5,Manuelle,3,WW au Maroc,Non,Bon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68000
199,Hyundai,Accent,2020,154999.5,Diesel,6,Automatique,5,WW au Maroc,Oui,Bon,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,140000
201,Kia,Sorento,2008,224999.5,Diesel,8,Manuelle,5,Dédouanée,Non,Très bon,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,78000
202,Peugeot,407,2006,224999.5,Diesel,8,Automatique,5,Dédouanée,Non,Très bon,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,74000
203,Fiat,Doblo,2012,32499.5,Diesel,6,Manuelle,5,WW au Maroc,Non,Très bon,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,77000
204,Nissan,Juke,2019,22499.5,Diesel,6,Manuelle,5,WW au Maroc,Oui,Excellent,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,158000
205,Skoda,Superb,2012,224999.5,Diesel,8,Automatique,5,WW au Maroc,Non,Très bon,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,120000
206,Audi,A3,2008,224999.5,Diesel,8,Automatique,5,Dédouanée,Non,Excellent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1450000
207,Peugeot,308,2012,154999.5,Diesel,6,Manuelle,5,WW au Maroc,Non,Très bon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92000
209,Citroen,C1,2008,67499.5,Diesel,6,Manuelle,5,Dédouanée,Oui,Excellent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60000
211,Hyundai,i 30,2016,114999.5,Diesel,6,Manuelle,5,WW au Maroc,Oui,Excellent,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,138000
212,Volkswagen,GOLF 5,2008,224999.5,Diesel,8,Automatique,5,Dédouanée,Oui,Très bon,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,95000
213,Volkswagen,PASSAT CC,2009,274999.5,Diesel,8,Manuelle,5,WW au Maroc,Non,Bon,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,122000
215,Renault,Clio,2016,184999.5,Diesel,5,Manuelle,5,WW au Maroc,Non,Excellent,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,93000
216,Dacia,Dokker,2020,52499.5,Diesel,6,Manuelle,5,WW au Maroc,Oui,Excellent,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,155000
217,Peugeot,Partner,2016,82499.5,Diesel,6,Manuelle,5,WW au Maroc,Oui,Excellent,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,130000
219,Peugeot,2008,2019,37499.5,Diesel,6,Manuelle,5,WW au Maroc,Oui,Excellent,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,165000
220,Fiat,TIPO,2019,72499.5,Diesel,5,Manuelle,5,WW au Maroc,Non,Excellent,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,98000
221,Hyundai,i 40,2014,134999.5,Diesel,7,Automatique,5,Importée neuve,Oui,Excellent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160000
